date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-06-07,Rochester,NY,100 State St,,,,,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies",1,rally,,,,,,,,,,,,https://www.facebook.com/events/3012083525701564/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Rockford,IL,Rockford City Hall,,,,,May 30th Alliance,,"against racism, against police violence",1,demonstration,,encamped outside city hall,,,,,,,,,,https://twitter.com/M30Alliance/status/1370029296509652993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Rutland,VT,Center Street Marketplace Park,,,,,,students; teachers,for changing Rutland City Schools mascot from Native American name and symbols to Ravens,0,rally,,,,,,,,,,,,https://www.rutlandherald.com/news/raven-discussion-rises-at-rally/article_688b86c1-2ba5-5568-a7ce-8e321a346223.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Sacramento,CA,"U.S. Courthouse, 501 I St",,,,,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies",1,rally,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/06/06/18842998.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Saint Louis,MO,"St. Louis Police Officers Association, Hampton Ave",,,,,,,"in remembrance of Isaiah Hammett, against police violence, for police accountability, against racism",1,vigil,,,,,,,,,,,,https://fox2now.com/news/vigil-today-for-21-year-old-killed-4-years-ago-in-no-knock-raid/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,San Francisco,CA,"office of U.S. Representative Nancy Pelosi, 90 7th Street",End U.S. Poverty! San Francisco Rally for HR 438: Third Reconstruction w/ CA PPC,count pic,25,35,California Poor People's Campaign,,"for a Third Reconstruction in America, for HR 438, against poverty and low wages, against systemic racism, against voter suppression, for universal access to health care",1,rally,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/06/06/18842996.php,https://www.indybay.org/newsitems/2021/06/08/18843075.php,https://twitter.com/TheLastUprisin1/status/1402344518217650176,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,San Jose,CA,"office of U.S. Representative Zoe Lofgren, 635 N First St",End U.S. Poverty! Rally for HR 438: Third Reconstruction in Downtown San Jose w/ CA PPC,,,,California Poor People's Campaign,,"for a Third Reconstruction in America, for HR 438, against poverty and low wages, against systemic racism, against voter suppression, for universal access to health care",1,rally,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/06/02/18842905.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,San Mateo,CA,"office of U.S. Representative Jackie Speier, 155 Bovet Rd",,,,,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies",1,rally,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/06/06/18842995.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Scarsdale,NY,Jewish Community Center,,hundreds,200,200,Westchester Jewish Council,people of all faiths,against antisemitism,0,rally,,,,,,,,,,,,https://westchester.news12.com/hundreds-denounce-antisemitism-during-rally-in-scarsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Seattle,WA,Casa Latina,,count pic,9,10,Youth Voices for Justice WA; Super Familia,,"for resignation of Casa Latina staff accused of abusing and retraumatizing survivors of sexual violence, for immigrants' rights, for abolishing police and prisons, for police accountability",0,occupation; hunger strike,,,,,,,,,,,,https://www.instagram.com/p/CP2hhfNMm-Z/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Sherman Oaks,CA,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,,,,The Valley of Change,,"Black Lives Matter, against police brutality",1,demonstration,,,,,,,,,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
