Crowd Counting Consortium,,,,,
"Data collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, Harvard U). ",,,,,
"With thanks to Beth Byam, Elannah Devin, Lisette Donewald, Marlys Erickson, Christine Hurley, Kathleen Jones, Courtney LeDuc, Richard Marks, Zoe Marks, Daniel McDermott, Marinela Mukollari, Molly Peterson, Nicolas Shanosky, Jim Smith, David Teeter, Dorothy Teeter, Jay Ulfelder, Aristotle Vainikos, Andrea Wells, and Spring Zoog for assistance compiling sources.",,,,,
We are collecting this data in the public interest and to further scholarly research. We are working with countlove.org to collect data on demonstrations.,,,,,
,,,,,
"To submit information about an action during this timeframe, please click here ",,,,,
,,,,,
Total Marchers US except GF,,,"45,099",,"54,626"
,,,,,
Total Events US Towns & Cities except GF,,,746,,
,,,,,
Total Marchers #GeorgeFloyd (May only),,,"372,798",,"431,610"
,,,,,
Total Events #GeorgeFloyd (May only),,,"1,440",,
